timestamp,x,y,z
1726835744323,-3.3600001,-1.96,-0.28
1726835744398,0.42000002,-1.47,0.07
1726835744417,3.29,-2.17,0.07
1726835744436,4.9,-2.66,-0.28
1726835744454,3.3600001,-2.45,-0.63
1726835744473,1.26,-2.03,-0.7
1726835744492,0.35,-1.6800001,-0.42000002
1726835744511,0.21000001,-1.82,-0.14
1726835744529,0.49,-1.75,-0.07
1726835744548,0.7,-1.6800001,-0.14
1726835744567,0.77,-2.1,-0.14
1726835744586,1.6800001,-2.24,-0.14
1726835744604,2.66,-2.52,-0.14
1726835744623,3.3600001,-2.8,-0.14
1726835744642,0.42000002,-2.8,-0.14
1726835744661,-1.4,-2.1,-0.21000001
1726835744679,0,-1.61,-0.42000002
1726835744698,0.49,-1.82,-0.56
1726835744717,0.84000003,-1.61,-0.49
1726835744736,1.33,-1.54,-0.42000002
1726835744754,1.47,-1.75,-0.42000002
1726835744773,1.47,-2.17,-0.35
1726835744792,1.05,-2.52,-0.14
1726835744811,0.42000002,-2.59,-0.07
1726835744829,0.14,-2.24,-0.14
1726835744848,0.21000001,-2.03,-0.14
1726835744867,0.49,-1.89,-0.14
1726835744886,0.84000003,-1.89,-0.21000001
1726835744904,0.7,-1.75,-0.28
1726835744923,0.21000001,-1.6800001,-0.42000002
1726835744942,0.07,-1.61,-0.63
1726835744961,0.21000001,-1.6800001,-0.63
1726835744979,0.56,-1.75,-0.56
1726835744999,0.49,-1.82,-0.35
1726835745018,0.42000002,-1.6800001,-0.28
1726835745037,0.35,-1.75,-0.21000001
1726835745056,0.28,-1.89,-0.14
1726835745074,0.49,-2.03,-0.07
1726835745093,0.77,-2.03,0.07
1726835745112,0.98,-2.03,0
1726835745130,0.7,-1.96,-0.07
1726835745149,0.14,-1.96,-0.21000001
1726835745168,0.42000002,-1.75,-0.28
1726835745187,0.7,-2.03,-0.35
1726835745205,0.91,-2.24,-0.21000001
1726835745224,-0.35,-2.03,-0.28
1726835745243,-1.05,-1.54,-0.07
1726835745262,-3.71,-1.61,-0.14
1726835745280,-1.33,-1.89,-0.07
1726835745299,-0.42000002,-2.38,-0.14
1726835745318,-5.6,-2.17,0.07
1726835745337,-2.8,-1.75,0.14
1726835745355,1.6800001,-1.33,0
1726835745374,4.27,-1.89,-0.14
1726835745393,5.04,-2.38,-0.28
1726835745412,2.73,-2.38,-0.56
1726835745430,1.12,-1.96,-0.49
1726835745449,0.56,-1.6800001,-0.21000001
1726835745468,0.7,-1.6800001,0
1726835745487,0.7,-1.54,0
1726835745505,1.61,-1.47,0
1726835745524,2.8,-1.75,0
1726835745543,2.8700001,-2.17,0.14
1726835745562,3.22,-2.38,0.07
1726835745580,4.62,-2.45,0
1726835745599,2.1,-2.59,-0.07
1726835745618,0.77,-2.17,-0.21000001
1726835745637,3.22,-1.47,-0.56
1726835745655,2.73,-1.4,-0.7
1726835745674,2.31,-1.12,-0.63
1726835745693,1.6800001,-1.12,-0.63
1726835745712,-0.98,-1.75,-0.56
1726835745730,-3.08,-2.66,-0.35
1726835745750,-0.98,-3.15,-0.21000001
1726835745769,-0.56,-3.01,0.07
1726835745788,-0.91,-2.8,0
1726835745807,-0.35,-2.52,-0.14
1726835745825,0.07,-2.31,-0.07
1726835745844,0.98,-2.1,0.07
1726835745863,2.59,-1.96,0
1726835745881,3.64,-1.82,-0.14
1726835745900,4.62,-1.82,-0.28
1726835745919,4.76,-1.75,-0.49
1726835745938,4.55,-1.75,-0.42000002
1726835745956,4.2,-1.96,-0.49
1726835745975,3.64,-1.89,-0.49
1726835745994,3.3600001,-1.54,-0.49
1726835746013,2.52,-1.61,-0.35
1726835746031,2.8,-1.6800001,-0.35
1726835746050,3.08,-1.89,-0.35
1726835746069,2.94,-1.96,-0.56
1726835746088,2.24,-2.1,-0.63
1726835746106,1.6800001,-1.96,-0.49
1726835746126,1.6800001,-1.75,-0.42000002
1726835746145,1.89,-1.75,-0.28
1726835746164,2.8,-1.89,-0.21000001
1726835746183,2.17,-2.03,-0.28
1726835746201,0.7,-2.1,-0.35
1726835746220,-2.1,-1.4,-0.35
1726835746239,-1.96,-1.26,-0.35
1726835746257,0.63,-1.54,-0.42000002
1726835746276,-2.24,-1.6800001,-0.35
1726835746295,-2.1,-1.96,-0.14
1726835746314,1.61,-1.54,0.14
1726835746332,4.06,-1.89,-0.07
1726835746351,5.25,-2.24,-0.28
1726835746370,4.2,-2.24,-0.63
1726835746389,2.31,-1.89,-0.84000003
1726835746407,1.96,-1.4,-0.63
1726835746426,2.38,-1.47,-0.28
1726835746445,2.52,-1.6800001,-0.21000001
1726835746464,2.38,-1.75,-0.28
1726835746482,2.1,-1.75,-0.28
1726835746501,2.38,-2.03,-0.21000001
1726835746520,2.73,-2.1,-0.21000001
1726835746539,3.5,-2.52,-0.28
1726835746557,1.96,-2.45,-0.28
1726835746576,-0.07,-2.03,-0.35
1726835746595,0.21000001,-1.6800001,-0.42000002
1726835746614,0.84000003,-1.6800001,-0.49
1726835746632,1.4,-1.61,-0.35
1726835746651,1.96,-1.47,-0.42000002
1726835746670,2.1,-1.6800001,-0.49
1726835746689,2.1,-1.96,-0.42000002
1726835746707,1.6800001,-2.1,-0.21000001
1726835746726,1.19,-2.17,-0.14
1726835746745,0.49,-2.03,-0.07
1726835746764,0.14,-1.89,-0.07
1726835746782,0.35,-1.89,-0.21000001
1726835746801,0.77,-1.82,-0.14
1726835746820,0.77,-1.75,-0.14
1726835746839,0.63,-1.75,-0.14
1726835746857,0.49,-1.61,-0.35
1726835746876,0.49,-1.6800001,-0.49
1726835746895,0.56,-1.6800001,-0.49
1726835746914,0.49,-1.61,-0.35
1726835746932,0.91,-1.82,-0.35
1726835746952,1.26,-1.89,-0.28
1726835746971,1.26,-1.82,-0.21000001
1726835746990,1.33,-1.75,-0.07
1726835747009,1.12,-1.89,0
1726835747027,0.84000003,-1.89,-0.28
1726835747046,0.49,-1.96,-0.35
1726835747065,0.56,-1.6800001,-0.28
1726835747083,0.56,-1.89,-0.28
1726835747102,1.12,-1.89,-0.21000001
1726835747121,0.7,-1.6800001,-0.28
1726835747140,-0.7,-1.75,-0.42000002
1726835747158,-1.05,-1.26,-0.49
1726835747177,-1.75,-1.4,-0.21000001
1726835747196,-0.14,-1.82,-0.21000001
1726835747215,-1.54,-1.89,-0.35
1726835747233,-1.96,-2.31,-0.14
1726835747252,0.07,-2.24,0.07
1726835747271,0.56,-1.96,0.21000001
1726835747290,2.1,-2.17,-0.07
1726835747308,2.24,-2.24,-0.56
